
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_M%d.dat', M) binary matrix"

# Contour 0, label:  1.5e+03
0.833883 0.844983 1500 
0.834615 0.844443 1500 
0.844983 0.841972 1500 
0.854954 0.834615 1500 
0.855351 0.834322 1500 
0.865719 0.831863 1500 
0.876019 0.824247 1500 
0.876087 0.824197 1500 
0.886455 0.821752 1500 
0.896823 0.814266 1500 
0.897639 0.81388 1500 
0.907191 0.811638 1500 
0.917559 0.804388 1500 
0.919405 0.803512 1500 
0.927926 0.801521 1500 
0.938294 0.794509 1500 
0.94117 0.793144 1500 
0.948662 0.791401 1500 
0.95903 0.78463 1500 
0.962932 0.782776 1500 
0.969398 0.781279 1500 
0.979766 0.774751 1500 
0.984693 0.772408 1500 
0.990134 0.771154 1500 
1.0005 0.764871 1500 
1.00645 0.76204 1500 
1.01087 0.761026 1500 
1.02124 0.758663 1500 
1.03057 0.751672 1500 
1.03161 0.750896 1500 
1.04197 0.748545 1500 
1.05162 0.741304 1500 
1.05234 0.740763 1500 
1.06271 0.738425 1500 
1.07267 0.730936 1500 
1.07308 0.730628 1500 
1.08344 0.728302 1500 
1.09371 0.720569 1500 
1.09381 0.720491 1500 
1.10418 0.718176 1500 
1.11455 0.710524 1500 
1.11523 0.710201 1500 
1.12492 0.708048 1500 
1.13528 0.700645 1500 
1.137 0.699833 1500 
1.14565 0.697917 1500 
1.15602 0.690766 1500 
1.15876 0.689465 1500 
1.16639 0.687784 1500 
1.17676 0.680887 1500 
1.18052 0.679097 1500 
1.18712 0.677649 1500 
1.19749 0.671008 1500 
1.20228 0.668729 1500 
1.20786 0.667511 1500 
1.21823 0.661129 1500 
1.22404 0.658361 1500 
1.2286 0.657371 1500 
1.23896 0.651249 1500 
1.2458 0.647993 1500 
1.24933 0.647228 1500 
1.2597 0.641369 1500 
1.26756 0.637625 1500 
1.27007 0.637084 1500 
1.28043 0.634865 1500 
1.29038 0.627258 1500 
1.2908 0.626937 1500 
1.30117 0.624728 1500 
1.31141 0.61689 1500 
1.31154 0.616788 1500 
1.32191 0.61459 1500 
1.33227 0.606782 1500 
1.33282 0.606522 1500 
1.34264 0.604449 1500 
1.35301 0.596903 1500 
1.35459 0.596154 1500 
1.36338 0.594306 1500 
1.37375 0.587024 1500 
1.37635 0.585786 1500 
1.38411 0.584161 1500 
1.39448 0.577145 1500 
1.39811 0.575418 1500 
1.40485 0.574014 1500 
1.41522 0.567265 1500 
1.41987 0.56505 1500 
1.42559 0.563865 1500 
1.43595 0.557386 1500 
1.44163 0.554682 1500 
1.44632 0.553713 1500 
1.45669 0.547506 1500 
1.46339 0.544314 1500 
1.46706 0.54356 1500 
1.47742 0.537626 1500 
1.48515 0.533947 1500 
1.48779 0.533404 1500 
1.49816 0.527746 1500 

# Contour 1, label: 
0.138299 1.17676 1500 
0.139967 1.17562 1500 
0.150334 1.17261 1500 
0.159484 1.16639 1500 
0.160702 1.16556 1500 
0.17107 1.16256 1500 
0.180659 1.15602 1500 
0.181438 1.15549 1500 
0.191806 1.15251 1500 
0.201826 1.14565 1500 
0.202174 1.14541 1500 
0.212542 1.14246 1500 
0.22291 1.13537 1500 
0.223094 1.13528 1500 
0.233278 1.1324 1500 
0.243645 1.12549 1500 
0.244871 1.12492 1500 
0.254013 1.12234 1500 
0.264381 1.11562 1500 
0.266642 1.11455 1500 
0.274749 1.11228 1500 
0.285117 1.10574 1500 
0.288409 1.10418 1500 
0.295485 1.10221 1500 
0.305853 1.09933 1500 
0.313808 1.09381 1500 
0.316221 1.09213 1500 
0.326589 1.08927 1500 
0.334968 1.08344 1500 
0.336957 1.08206 1500 
0.347324 1.07922 1500 
0.356121 1.07308 1500 
0.357692 1.07198 1500 
0.36806 1.06915 1500 
0.377265 1.06271 1500 
0.378428 1.06189 1500 
0.388796 1.05909 1500 
0.398402 1.05234 1500 
0.399164 1.0518 1500 
0.409532 1.04902 1500 
0.419531 1.04197 1500 
0.4199 1.04171 1500 
0.430268 1.03894 1500 
0.440635 1.03163 1500 
0.440685 1.03161 1500 
0.451003 1.02887 1500 
0.461371 1.02175 1500 
0.462458 1.02124 1500 
0.471739 1.01879 1500 
0.482107 1.01187 1500 
0.484227 1.01087 1500 
0.492475 1.0087 1500 
0.502843 1.002 1500 
0.505993 1.0005 1500 
0.513211 0.998613 1500 
0.523579 0.992116 1500 
0.527756 0.990134 1500 
0.533947 0.988522 1500 
0.544314 0.985838 1500 
0.552813 0.979766 1500 
0.554682 0.978427 1500 
0.56505 0.97576 1500 
0.57393 0.969398 1500 
0.575418 0.968329 1500 
0.585786 0.965678 1500 
0.59504 0.95903 1500 
0.596154 0.958228 1500 
0.606522 0.955592 1500 
0.616144 0.948662 1500 
0.61689 0.948124 1500 
0.627258 0.945504 1500 
0.637241 0.938294 1500 
0.637625 0.938016 1500 
0.647993 0.935411 1500 
0.658333 0.927926 1500 
0.668729 0.925316 1500 
0.679097 0.918009 1500 
0.680048 0.917559 1500 
0.689465 0.915217 1500 
0.699833 0.90813 1500 
0.701815 0.907191 1500 
0.710201 0.905116 1500 
0.720569 0.898252 1500 
0.72358 0.896823 1500 
0.730936 0.895011 1500 
0.741304 0.888373 1500 
0.745343 0.886455 1500 
0.751672 0.884903 1500 
0.76204 0.878494 1500 
0.767103 0.876087 1500 
0.772408 0.874793 1500 
0.782776 0.87228 1500 
0.791727 0.865719 1500 
0.793144 0.864679 1500 
0.803512 0.86218 1500 
0.812808 0.855351 1500 
0.81388 0.854563 1500 
0.824247 0.852077 1500 
0.833883 0.844983 1500 

# Contour 2, label: 
-0.392018 1.49816 1500 
-0.399164 1.49104 1500 
-0.40241 1.48779 1500 
-0.409532 1.4808 1500 
-0.412898 1.47742 1500 
-0.4199 1.47056 1500 
-0.423384 1.46706 1500 
-0.430268 1.46036 1500 
-0.433923 1.45669 1500 
-0.440635 1.45009 1500 
-0.444312 1.44632 1500 
-0.451003 1.43972 1500 
-0.461371 1.43955 1500 
-0.464944 1.43595 1500 
-0.471739 1.42934 1500 
-0.475473 1.42559 1500 
-0.471739 1.42189 1500 
-0.461371 1.4219 1500 
-0.451003 1.42196 1500 
-0.440635 1.422 1500 
-0.430268 1.42207 1500 
-0.4199 1.4221 1500 
-0.409532 1.42213 1500 
-0.399164 1.4222 1500 
-0.39163 1.41522 1500 
-0.388796 1.41249 1500 
-0.378428 1.41246 1500 
-0.36806 1.41237 1500 
-0.357692 1.41236 1500 
-0.349398 1.40485 1500 
-0.347324 1.40283 1500 
-0.336957 1.40253 1500 
-0.326589 1.40255 1500 
-0.31779 1.39448 1500 
-0.316221 1.39297 1500 
-0.305853 1.39264 1500 
-0.296323 1.38411 1500 
-0.295485 1.38334 1500 
-0.285117 1.3829 1500 
-0.275041 1.37375 1500 
-0.274749 1.37349 1500 
-0.264381 1.37302 1500 
-0.254046 1.36338 1500 
-0.254013 1.36335 1500 
-0.243645 1.35918 1500 
-0.233413 1.35301 1500 
-0.233278 1.35296 1500 
-0.22291 1.34892 1500 
-0.212542 1.34274 1500 
-0.21229 1.34264 1500 
-0.202174 1.33887 1500 
-0.191806 1.33471 1500 
-0.187691 1.33227 1500 
-0.181438 1.32869 1500 
-0.17107 1.32456 1500 
-0.164558 1.32191 1500 
-0.160702 1.32005 1500 
-0.150334 1.31504 1500 
-0.143282 1.31154 1500 
-0.139967 1.30993 1500 
-0.129599 1.30493 1500 
-0.122018 1.30117 1500 
-0.119231 1.29982 1500 
-0.108863 1.29483 1500 
-0.100767 1.2908 1500 
-0.098495 1.2897 1500 
-0.0881271 1.28471 1500 
-0.0795277 1.28043 1500 
-0.0777592 1.27957 1500 
-0.0673913 1.27459 1500 
-0.0582992 1.27007 1500 
-0.0570234 1.26944 1500 
-0.0466555 1.26602 1500 
-0.0370812 1.2597 1500 
-0.0362876 1.25931 1500 
-0.0259197 1.25599 1500 
-0.0158735 1.24933 1500 
-0.0155518 1.24917 1500 
-0.00518395 1.24596 1500 
0.00518395 1.23906 1500 
0.00550635 1.23896 1500 
0.0155518 1.23593 1500 
0.0259197 1.22901 1500 
0.0272897 1.2286 1500 
0.0362876 1.22589 1500 
0.0466555 1.22276 1500 
0.0534617 1.21823 1500 
0.0570234 1.21584 1500 
0.0673913 1.21274 1500 
0.0746868 1.20786 1500 
0.0777592 1.20579 1500 
0.0881271 1.20271 1500 
0.0959012 1.19749 1500 
0.098495 1.19574 1500 
0.108863 1.19268 1500 
0.117105 1.18712 1500 
0.119231 1.18568 1500 
0.129599 1.18265 1500 
0.138299 1.17676 1500 

