# Data file generated by gp_save_table.m
# pairwise differences of ratings vs Ref
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.014565	0.507282	0.507282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.979424	0.944444	1.000000	0.954733	1.000000	0.000002	1.000000	0.000001	0.893004	0.991770	0.975309	0.958848	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.962963	0.934156	1.000000	0.989712	0.954733	0.654321	0.913580	0.962963	0.884774	0.983539	
"WFS"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_wfs_corrected.wav	0.598765	0.452675	0.794239	0.458848	0.788066	0.000004	0.999999	0.000002	-0.002058	0.880658	0.880658	0.576132	0.458848	0.500000	0.584362	0.800412	0.487654	0.652263	0.637860	0.613169	0.390947	0.446502	0.923868	0.092593	0.888889	0.788066	0.631687	0.076132	
"LWFS-SBL 1024 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	0.337449	0.215021	0.568930	0.224280	0.500000	0.000010	0.999998	0.000005	0.000000	0.683128	0.294239	0.275720	0.205761	0.393004	0.176955	0.224280	0.380658	0.290123	0.500000	0.475309	0.283951	0.637860	0.833333	0.090535	0.913580	0.687243	0.419753	-0.002058	
"LWFS-SBL 1024 23R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M23_npw1024_corrected.wav	0.276749	0.102881	0.393004	0.123457	0.372428	0.000027	0.999990	0.000013	-0.016461	0.413580	0.372428	0.205761	0.034979	0.082305	0.129630	0.026749	0.300412	0.351852	0.427984	0.565844	0.316872	0.442387	0.288066	-0.106996	0.728395	0.123457	0.261317	0.265432	
"LWFS-SBL 1024 19R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M19_npw1024_corrected.wav	0.084362	0.039095	0.122428	0.043210	0.121399	0.000010	0.999998	0.000005	-0.008230	0.228395	0.199588	0.090535	0.016461	0.092593	0.057613	0.069959	0.094650	0.123457	0.069959	0.516461	0.100823	0.034979	0.121399	0.043210	0.580247	0.026749	0.078189	0.000000	
"LWFS-SBL 1024 15R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M15_npw1024_corrected.wav	0.186214	0.077160	0.244856	0.104938	0.240741	0.000027	0.999990	0.000013	-0.008230	0.378601	0.606996	0.131687	0.041152	0.176955	0.230453	0.104938	0.049383	0.213992	0.259259	0.240741	0.156379	0.261317	0.195473	-0.061728	0.152263	0.248971	0.205761	0.049383	
"LWFS-SBL 1024 11R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M11_npw1024_corrected.wav	0.385802	0.229424	0.529835	0.236626	0.526749	0.000010	0.999997	0.000005	-0.006173	0.526749	0.436214	0.308642	0.162551	0.222222	0.335391	0.506173	0.627572	0.380658	0.201646	0.524691	0.290123	0.701646	0.236626	-0.030864	0.901235	0.390947	0.532922	0.537037	
"LWFS-SBL 1024 7R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M07_npw1024_corrected.wav	0.554527	0.339506	0.663580	0.345679	0.656379	0.000004	1.000000	0.000002	0.000000	0.333333	0.802469	0.434156	0.559671	0.670782	0.736626	0.656379	0.621399	0.500000	0.345679	0.722222	0.432099	0.588477	0.561728	0.197531	0.913580	0.316872	0.325103	0.549383	
"LWFS-SBL 1024 3R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M03_npw1024_corrected.wav	0.811728	0.757202	0.905350	0.769547	0.905350	0.000002	1.000000	0.000001	0.154321	0.794239	0.654321	0.812757	0.903292	0.775720	0.944444	0.800412	0.905350	0.921811	0.711934	0.880658	0.841564	0.744856	0.769547	0.582305	0.905350	0.911523	0.810700	0.977366	
